"","sI","tI","rS","av_accuracy","av_search","cI_cutoff_up","cI_cutoff_bo"
"1",3.94715387554275,3.94715387554275,"-0.1",0.6,0.986442894107542,NA,0.789916099847857
"2",3.13834420066129,3.13834420066129,"-0.1",0.625,0.938834701763777,0.217714463600997,0.789083148580723
"3",2.59524236883453,2.59524236883453,"-0.1",0.65,0.856353163535192,0.218087888968455,0.787663242485991
"4",2.20379754343486,2.20379754343486,"-0.1",0.675,0.760537219385036,0.218706075479683,0.787761342586994
"5",1.90693940178649,1.90693940178649,"-0.1",0.7,0.661471039288728,0.220028792532696,0.787378289831218
"6",1.6729118528206,1.6729118528206,"-0.1",0.725,0.567502552657919,0.220385581649404,0.786970206705334
"7",1.4826022185056,1.4826022185056,"-0.1",0.75,0.481353726736025,0.221138083858934,0.786509499282154
"8",1.32377562678085,1.32377562678085,"-0.1",0.775,0.4020465267584,0.224039208767436,0.78528224031721
"9",1.18818294989389,1.18818294989389,"-0.1",0.8,0.332058676779261,0.225757475598745,0.784487301901029
"10",1.06998872076887,1.06998872076887,"-0.1",0.825,0.267907896557119,0.228152421522703,0.782398352093192
"11",0.964847341022481,0.964847341022481,"-0.1",0.85,0.211161113065757,0.235361429975976,0.781030960522427
"12",0.869301115868934,0.869301115868934,"-0.1",0.875,0.161087668878605,0.243246998894449,0.780109092028831
"13",0.780304146072379,0.780304146072379,"-0.1",0.9,0.115011371847128,0.253357060395526,0.776069550450198
"14",0.69467046757101,0.69467046757101,"-0.1",0.925,0.0765328471478536,0.270698735064867,0.776248455538889
"15",0.607956831911769,0.607956831911769,"-0.1",0.95,0.0401889247920987,0.295878832763741,0.758848320110826
"16",3.94715387554275,3.94715387554275,"-0.2",0.6,0.72959130093525,0.348358650096517,0.656622299959419
"17",3.13834420066129,3.13834420066129,"-0.2",0.625,0.592099394871433,0.349789048609401,0.655970596886259
"18",2.59524236883453,2.59524236883453,"-0.2",0.65,0.485958494069956,0.351103294006224,0.656398863595229
"19",2.20379754343486,2.20379754343486,"-0.2",0.675,0.39995758248895,0.351891175244044,0.655889022052473
"20",1.90693940178649,1.90693940178649,"-0.2",0.7,0.331579647530426,0.355300659419967,0.65599075178712
"21",1.6729118528206,1.6729118528206,"-0.2",0.725,0.272993114395363,0.360026967141934,0.654964377948728
"22",1.4826022185056,1.4826022185056,"-0.2",0.75,0.224819915026561,0.364592774749382,0.654347566202517
"23",1.32377562678085,1.32377562678085,"-0.2",0.775,0.18128248958148,0.37397036301378,0.652683260463351
"24",1.18818294989389,1.18818294989389,"-0.2",0.8,0.143586551286031,0.384994501912229,0.650745374476876
"25",1.06998872076887,1.06998872076887,"-0.2",0.825,0.105048286341469,0.401334053795143,0.641106292392576
"26",0.964847341022481,0.964847341022481,"-0.2",0.85,0.0683039845119393,0.425603684616134,0.623062657928083
"27",0.869301115868934,0.869301115868934,"-0.2",0.875,0.0305820616428633,0.470449876495204,0.586306332251639
"28",0.780304146072379,0.780304146072379,"-0.2",0.9,0,NA,NA
"29",0.69467046757101,0.69467046757101,"-0.2",0.925,0,NA,NA
"30",0.607956831911769,0.607956831911769,"-0.2",0.95,0,NA,NA
"31",3.94715387554275,3.94715387554275,"-0.3",0.6,0.187079197439817,0.470937932950308,0.542474307278378
"32",3.13834420066129,3.13834420066129,"-0.3",0.625,0.0964957592661367,0.486113907244779,0.533075245416476
"33",2.59524236883453,2.59524236883453,"-0.3",0.65,0,NA,NA
"34",2.20379754343486,2.20379754343486,"-0.3",0.675,0,NA,NA
"35",1.90693940178649,1.90693940178649,"-0.3",0.7,0,NA,NA
"36",1.6729118528206,1.6729118528206,"-0.3",0.725,0,NA,NA
"37",1.4826022185056,1.4826022185056,"-0.3",0.75,0,NA,NA
"38",1.32377562678085,1.32377562678085,"-0.3",0.775,0,NA,NA
"39",1.18818294989389,1.18818294989389,"-0.3",0.8,0,NA,NA
"40",1.06998872076887,1.06998872076887,"-0.3",0.825,0,NA,NA
"41",0.964847341022481,0.964847341022481,"-0.3",0.85,0,NA,NA
"42",0.869301115868934,0.869301115868934,"-0.3",0.875,0,NA,NA
"43",0.780304146072379,0.780304146072379,"-0.3",0.9,0,NA,NA
"44",0.69467046757101,0.69467046757101,"-0.3",0.925,0,NA,NA
"45",0.607956831911769,0.607956831911769,"-0.3",0.95,0,NA,NA
