"","sI","rS","tI","zetaI","av_accuracy","av_search","cI_cutoff"
"1",3.94715387554275,"-0.1",2,1.78405174311208,0.6,0.674827521104891,0.782318840152315
"2",3.13834420066129,"-0.1",2,1.68662354165857,0.625,0.639414328113273,0.782421127706957
"3",2.59524236883453,"-0.1",2,1.58416775976353,0.65,0.598488489739921,0.782205803348197
"4",2.20379754343486,"-0.1",2,1.48103439403923,0.675,0.554321753569329,0.782060118805133
"5",1.90693940178649,"-0.1",2,1.38013651078547,0.7,0.50846406456637,0.782127283961605
"6",1.6729118528206,"-0.1",2,1.28319370614875,0.725,0.461440902071106,0.782164901552155
"7",1.4826022185056,"-0.1",2,1.19103637337518,0.75,0.413808009829106,0.782013498490623
"8",1.32377562678085,"-0.1",2,1.10387658251499,0.775,0.367318007909563,0.782319912448641
"9",1.18818294989389,"-0.1",2,1.02151158499396,0.8,0.321255633944446,0.782447066181365
"10",1.06998872076887,"-0.1",2,0.943456204884982,0.825,0.275342295594017,0.781877855359705
"11",0.964847341022481,"-0.1",2,0.869008779527519,0.85,0.231791305071582,0.782125200335175
"12",0.869301115868934,"-0.1",2,0.797248513978449,0.875,0.189466199398978,0.782306240878967
"13",0.780304146072379,"-0.1",2,0.726936484059058,0.9,0.148198583879498,0.782048828455411
"14",0.69467046757101,"-0.1",2,0.656213913258631,0.925,0.108932179357913,0.782586411046375
"15",0.607956831911769,"-0.1",2,0.581676241578907,0.95,0.0706891786137246,0.782241068851217
"16",3.94715387554275,"-0.2",2,1.78405174311208,0.6,0.370638343075565,0.65285676626413
"17",3.13834420066129,"-0.2",2,1.68662354165857,0.625,0.345718801540499,0.652820170510866
"18",2.59524236883453,"-0.2",2,1.58416775976353,0.65,0.318350557128983,0.652552872263568
"19",2.20379754343486,"-0.2",2,1.48103439403923,0.675,0.291645328064374,0.653041503110515
"20",1.90693940178649,"-0.2",2,1.38013651078547,0.7,0.262988967548363,0.652589373680899
"21",1.6729118528206,"-0.2",2,1.28319370614875,0.725,0.235453562266286,0.652466873393776
"22",1.4826022185056,"-0.2",2,1.19103637337518,0.75,0.209186055028395,0.652656201699943
"23",1.32377562678085,"-0.2",2,1.10387658251499,0.775,0.184283379762632,0.653205146126169
"24",1.18818294989389,"-0.2",2,1.02151158499396,0.8,0.159617239697178,0.653171726645334
"25",1.06998872076887,"-0.2",2,0.943456204884982,0.825,0.13550342034744,0.652559582546416
"26",0.964847341022481,"-0.2",2,0.869008779527519,0.85,0.113017282930282,0.652399455639397
"27",0.869301115868934,"-0.2",2,0.797248513978449,0.875,0.0915402963026566,0.652117008013917
"28",0.780304146072379,"-0.2",2,0.726936484059058,0.9,0.0714542346872549,0.652449906183591
"29",0.69467046757101,"-0.2",2,0.656213913258631,0.925,0.0520727293920173,0.652344336588859
"30",0.607956831911769,"-0.2",2,0.581676241578907,0.95,0.0338458453353391,0.653024604071409
"31",3.94715387554275,"-0.3",2,1.78405174311208,0.6,0.103474314532092,0.542537955311983
"32",3.13834420066129,"-0.3",2,1.68662354165857,0.625,0.0952550433096767,0.542184666111407
"33",2.59524236883453,"-0.3",2,1.58416775976353,0.65,0.0868789791445277,0.541920007230437
"34",2.20379754343486,"-0.3",2,1.48103439403923,0.675,0.0799242209415864,0.5424345818119
"35",1.90693940178649,"-0.3",2,1.38013651078547,0.7,0.0714090400407674,0.542101700056064
"36",1.6729118528206,"-0.3",2,1.28319370614875,0.725,0.0643525317898972,0.542508049316224
"37",1.4826022185056,"-0.3",2,1.19103637337518,0.75,0.0559739932740767,0.541818045645744
"38",1.32377562678085,"-0.3",2,1.10387658251499,0.775,0.0490654307596707,0.541896690409287
"39",1.18818294989389,"-0.3",2,1.02151158499396,0.8,0.0422870486087372,0.541792649830856
"40",1.06998872076887,"-0.3",2,0.943456204884982,0.825,0.0366906636768693,0.542629088649993
"41",0.964847341022481,"-0.3",2,0.869008779527519,0.85,0.0304051664909487,0.542396161352199
"42",0.869301115868934,"-0.3",2,0.797248513978449,0.875,0.0249296180674818,0.54290679904171
"43",0.780304146072379,"-0.3",2,0.726936484059058,0.9,0.0192578385118346,0.542634381371748
"44",0.69467046757101,"-0.3",2,0.656213913258631,0.925,0.0135857322705445,0.54131087728328
"45",0.607956831911769,"-0.3",2,0.581676241578907,0.95,0.00893464403695166,0.542057780155912
