"","sI","efficiency_ratio","tI","av_search"
"1","1",0.6,1.66666666666667,0.207851090560488
"2","1",0.7,1.42857142857143,0.240952804127519
"3","1",0.8,1.25,0.253088729142747
"4","1",0.9,1.11111111111111,0.249997484313448
"5","1",1,1,0.230266687187379
"6","1",1.1,0.909090909090909,0.205419758784238
"7","1",1.2,0.833333333333333,0.180376316062911
"8","1",1.3,0.769230769230769,0.156445165942512
"9","1",1.4,0.714285714285714,0.130434948466781
"10","1",1.5,0.666666666666667,0.111273447529758
"11","1",1.6,0.625,0.0903507116368408
"12","1",1.7,0.588235294117647,0.0718171606379297
"13","1",1.8,0.555555555555556,0.0584999901375527
"14","1.5",0.6,2.5,0.653366078137195
"15","1.5",0.7,2.14285714285714,0.597982071464257
"16","1.5",0.8,1.875,0.55447180464746
"17","1.5",0.9,1.66666666666667,0.518563742403102
"18","1.5",1,1.5,0.488151383574636
"19","1.5",1.1,1.36363636363636,0.452225228367826
"20","1.5",1.2,1.25,0.411861839803934
"21","1.5",1.3,1.15384615384615,0.370966908761867
"22","1.5",1.4,1.07142857142857,0.338399571705236
"23","1.5",1.5,1,0.302091841013181
"24","1.5",1.6,0.9375,0.266777523567088
"25","1.5",1.7,0.88235294117647,0.238384783330094
"26","1.5",1.8,0.833333333333333,0.207275128539438
"27","2",0.6,3.33333333333333,0.910640404703315
"28","2",0.7,2.85714285714286,0.847952171880184
"29","2",0.8,2.5,0.79106706129886
"30","2",0.9,2.22222222222222,0.736471952482517
"31","2",1,2,0.692137098913568
"32","2",1.1,1.81818181818182,0.648331485022538
"33","2",1.2,1.66666666666667,0.6043316435344
"34","2",1.3,1.53846153846154,0.564504747446453
"35","2",1.4,1.42857142857143,0.521370989288804
"36","2",1.5,1.33333333333333,0.484174839566348
"37","2",1.6,1.25,0.44084366005392
"38","2",1.7,1.17647058823529,0.402897013553432
"39","2",1.8,1.11111111111111,0.36823825884822
"40","5",0.6,8.33333333333333,1
"41","5",0.7,7.14285714285714,1
"42","5",0.8,6.25,1
"43","5",0.9,5.55555555555556,0.999682888621477
"44","5",1,5,0.998871748917485
"45","5",1.1,4.54545454545454,0.996399481665803
"46","5",1.2,4.16666666666667,0.991172324125422
"47","5",1.3,3.84615384615385,0.983901635986371
"48","5",1.4,3.57142857142857,0.972856890809085
"49","5",1.5,3.33333333333333,0.959919807396652
"50","5",1.6,3.125,0.943294152695386
"51","5",1.7,2.94117647058824,0.925874575339614
"52","5",1.8,2.77777777777778,0.906922688662588
